,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
182,abu dhabi,ae,24.47,54.37,72.54,78,0,1.12
183,attawapiskat,ca,,,,,,
184,urumqi,cn,,,,,,
185,armidale,au,-30.51,151.67,64.79,78,8,9.24
186,cartagena,co,37.63,-1,54.66,41,0,10.58
187,umm lajj,sa,25.02,37.27,72.03,82,64,2.3
188,kruisfontein,za,-34,24.73,61.32,93,8,11.03
189,mao,td,19.55,-71.08,74.32,78,40,9.17
190,lebu,cl,8.96,38.73,51.8,54,0,9.17
191,new norfolk,au,-42.78,147.06,59,47,75,10.29
192,porto novo,cv,-23.68,-45.44,71.6,88,75,2.24
193,provideniya,ru,64.42,-173.23,24.8,79,90,13.42
194,joshimath,in,30.57,79.57,10.92,77,0,1.63
195,nantucket,us,41.28,-70.1,33.8,100,0,13.87
196,roudnice,cz,50.18,15.65,39.2,86,56,6.93
197,boa viagem,br,-5.13,-39.73,70.55,97,88,1.74
198,pirgos,gr,35.12,25.72,57.2,62,0,2.24
199,bonthe,sl,7.53,-12.5,78.11,92,64,3.42
200,luganville,vu,-15.51,167.18,83.01,100,8,5.32
201,morondava,mg,-20.3,44.28,81.89,87,0,7
202,mairana,bo,-18.12,-63.96,54.57,92,0,2.19
203,jiddah,sa,,,,,,
204,sur,om,22.57,59.53,77.21,83,0,4.43
205,nikolskoye,ru,59.7,30.79,15.8,78,0,4.47
206,sommerda,de,51.15,11.1,33.8,86,20,3.36
207,acapulco,mx,16.86,-99.88,80.6,78,5,9.17
208,saint-augustin,ca,44.83,-0.61,49.19,87,90,4.7
209,namibe,ao,-15.19,12.15,77.48,100,56,6.67
210,rosarito,mx,4.91,-75.23,75.2,94,75,3.36
211,winona,us,43.21,-79.65,38.34,80,75,10.29
212,ahipara,nz,-35.17,173.16,74.78,71,8,11.48
213,san patricio,mx,-26.98,-56.83,63.89,71,0,4.09
214,goderich,sl,43.74,-81.71,42.15,46,12,19.3
215,yulara,au,-25.24,130.99,75.2,25,0,10.29
216,chernyshevskiy,ru,63.01,112.47,5.88,71,0,3.2
217,lundazi,zm,-12.29,33.17,66.9,92,24,7.9
218,hualmay,pe,-11.1,-77.61,69.87,76,32,3.98
219,umzimvubu,za,,,,,,
220,koulamoutou,ga,-1.13,12.47,73.47,94,12,3.2
221,sungairaya,id,0.7,108.9,75.41,96,24,3.65
222,dipkarpaz,cy,,,,,,
223,barentsburg,sj,,,,,,
224,erenhot,cn,43.65,111.97,53,34,20,16.4
225,ardmore,us,34.99,-86.85,51.84,57,90,12.75
226,naze,jp,5.43,7.07,73.88,94,0,6.89
227,souillac,mu,45.6,-0.6,44.42,87,90,8.05
228,port lincoln,au,-34.72,135.86,64.2,87,56,19.08
229,buraydah,sa,26.33,43.97,69.8,32,5,3.98
230,fortuna,us,38.18,-1.13,55.4,43,0,10.29
231,leh,in,34.16,77.58,-14.33,65,24,0.63
232,vao,nc,59.1,26.19,17.76,82,0,5.66
233,los llanos de aridane,es,28.66,-17.92,64.4,63,88,17.22
234,vavuniya,lk,8.76,80.5,77.07,92,24,2.98
235,half moon bay,us,37.46,-122.43,62.67,66,1,18.34
236,coquimbo,cl,-29.95,-71.34,55.4,93,0,9.17
237,korla,cn,,,,,,
238,guatire,ve,10.47,-66.54,77,94,75,3.36
239,ormara,pk,25.21,64.64,75.81,74,0,10.8
240,klaksvik,fo,62.23,-6.59,37.4,51,48,28.86
241,ponta do sol,cv,-20.63,-46,68.61,65,8,6.44
242,pleasanton,us,37.66,-121.87,64.09,25,1,9.17
243,shimoda,jp,34.7,138.93,60.8,77,75,6.93
244,pitimbu,br,-7.47,-34.81,78.8,83,75,4.7
245,salta,ar,-24.79,-65.41,59.27,76,20,2.24
246,ajaccio,fr,41.93,8.74,41,80,0,2.24
247,cortez,us,37.35,-108.58,51.8,18,75,8.05
248,pimentel,pe,-3.7,-45.5,75.68,93,76,3.87
249,sorong,id,-0.86,131.25,78.29,100,64,10.25
250,bargal,so,,,,,,
251,grand centre,ca,,,,,,
252,havelock,us,34.88,-76.9,46.06,70,5,14.99
253,perafita,pt,41.22,-8.7,54.68,93,75,1.63
254,karratha,au,-20.74,116.85,84.72,52,0,5.21
255,salalah,om,17.01,54.1,77,78,0,2.24
256,manokwari,id,-0.87,134.08,79.91,100,24,3.65
257,wewak,pg,-3.55,143.63,74.15,100,92,2.64
258,pensacola,us,30.42,-87.22,64.62,82,75,12.75
259,uvalde,us,29.21,-99.79,84.2,42,1,11.41
260,babanusah,sd,,,,,,
261,hollins,us,37.35,-79.95,41.29,39,1,8.05
262,vila franca do campo,pt,37.72,-25.43,55.4,82,20,2.24
263,mogocha,ru,53.73,119.76,25.1,60,92,3.53
264,kitaibaraki,jp,36.84,140.74,55.4,47,0,2.24
265,miyako,jp,33.63,130.94,55.51,81,0,4.7
266,mount isa,au,-20.73,139.49,82.4,54,0,12.75
267,doha,kw,25.29,51.53,77,41,0,4.7
268,krasnoarmeysk,kz,56.12,38.15,33.8,100,90,6.71
269,beyneu,kz,45.32,55.19,21.81,79,0,2.64
270,riyadh,sa,24.63,46.72,62.6,23,0,3.87
271,pauini,br,-7.71,-67,79.1,81,80,4.65
272,wajid,so,3.81,43.25,73.43,79,0,11.48
273,lodja,cd,-3.52,23.6,72.57,94,20,1.97
274,san cristobal,ec,-0.39,-78.55,57.2,76,90,12.75
275,noyabrsk,ru,63.2,75.45,22.76,87,92,25.23
276,camopi,gf,3.17,-52.33,76.17,89,44,3.31
277,ancud,cl,-41.87,-73.83,55.47,94,92,3.98
278,alice,za,27.75,-98.07,78.53,83,75,21.92
279,road town,vg,18.42,-64.62,73.98,73,20,3.36
280,matoury,gf,4.85,-52.33,78.8,83,20,4.7
281,mullaitivu,lk,,,,,,
282,kavieng,pg,-2.57,150.8,85.76,96,20,6.22
283,madingou,cg,-4.17,13.56,73.79,94,20,2.64
284,pisco,pe,-13.71,-76.2,72.35,73,12,1.97
285,bud,no,62.91,6.91,29.01,36,0,16.11
286,hobyo,so,5.35,48.53,80.99,84,88,16.17
287,fayaoue,nc,-20.65,166.53,78.96,100,92,18.19
288,mahebourg,mu,-20.41,57.7,78.33,83,64,5.77
289,topolobampo,mx,25.6,-109.05,82.4,12,75,13.87
290,port hawkesbury,ca,45.62,-61.36,24.8,73,1,3.36
291,kralendijk,an,12.15,-68.27,78.8,78,40,14.99
292,chifeng,cn,42.27,118.96,53.58,55,0,8.01
293,lincoln,us,40.8,-96.67,41,86,90,9.17
294,louisbourg,ca,,,,,,
295,pangnirtung,ca,66.15,-65.72,9.3,76,76,8.9
296,chiredzi,zw,-21.05,31.67,70.19,98,92,8.01
297,khatanga,ru,71.98,102.47,-31.65,53,20,6.78
298,ko samui,th,9.54,99.94,80.6,88,20,5.77
299,esmeraldas,ec,-19.76,-44.31,70.39,68,0,5.82
300,marienburg,sr,52.12,9.98,32.02,100,48,3.36
301,mudhol,in,16.33,75.29,72.57,48,56,0.96
302,snezhnogorsk,ru,69.19,33.23,15.8,78,75,8.95
303,caceres,br,5.53,-74.53,70.5,95,56,0.4
304,lasa,cn,34.92,32.53,51.15,87,0,8.05
305,savinka,ru,50.08,47.1,21.14,59,88,7.23
306,aklavik,ca,68.22,-135.01,1.4,49,5,3.36
307,westport,nz,53.8,-9.52,49.85,95,80,19.64
308,saint george,bm,39.45,22.34,46.4,81,20,4.7
309,libertador general san martin,ar,-23.81,-64.79,60.8,77,0,3.36
310,touros,br,-5.2,-35.46,77.39,100,64,5.21
311,praia da vitoria,pt,38.73,-27.07,60.8,87,20,10.47
312,the valley,ai,18.22,-63.06,78.8,74,20,6.93
313,at-bashi,kg,41.17,75.81,22.49,86,68,1.41
314,norman wells,ca,65.28,-126.83,1.4,45,20,4.7
315,oyem,ga,1.6,11.57,72.93,95,76,2.42
316,shenzhen,cn,22.54,114.05,71.46,64,20,6.93
317,niort,fr,46.32,-0.46,46.33,87,75,10.29
318,guerrero negro,mx,27.97,-114.04,60.96,65,0,19.42
319,of,tr,,,,,,
320,rungata,ki,,,,,,
321,hami,cn,42.84,93.51,45.8,55,32,9.91
322,lerwick,gb,60.15,-1.15,38.32,74,0,13.87
323,pishva,ir,35.31,51.73,62.35,15,0,11.41
324,bushehr,ir,28.97,50.84,68,56,0,4.7
325,vaitape,pf,-16.52,-151.75,83.28,96,80,16.73
326,halalo,wf,,,,,,
327,chapais,ca,49.78,-74.86,32,75,1,5.82
328,padang,id,-0.92,100.36,81.8,100,92,4.76
329,abay,kz,49.63,72.87,26.6,86,75,11.18
330,pemangkat,id,,,,,,
331,clyde river,ca,70.47,-68.59,-7.61,76,90,24.16
332,cabo san lucas,mx,22.89,-109.91,74.37,60,5,4.7
333,bahia blanca,ar,-38.72,-62.27,62.76,68,0,14.94
334,sidney,us,47.72,-104.16,40.8,56,20,11.41
335,liling,cn,27.65,113.49,55.4,93,8,2.24
336,batagay-alyta,ru,67.8,130.41,1.2,64,56,2.75
337,taoudenni,ml,22.68,-3.98,60.29,37,0,2.98
338,dryden,ca,49.79,-92.84,32,86,90,11.41
339,nome,us,30.04,-94.42,74.73,78,90,9.17
340,san rafael,bo,-34.61,-68.33,55.47,55,0,4.99
341,skjervoy,no,70.03,20.97,29.91,100,80,19.08
342,saint-leu,re,-21.15,55.28,74.26,78,0,4.7
343,japura,br,-0.42,102.29,71.58,99,76,1.63
344,ugoofaaru,mv,5.67,73,83.28,100,0,6.33
345,samoded,ru,63.61,40.52,10.61,79,44,2.64
346,isangel,vu,-19.55,169.27,80.09,100,92,20.76
347,shanghai,cn,31.23,121.49,58.91,77,0,6.71
348,misawa,jp,40.75,141.38,39.2,93,75,2.24
349,gurgan,az,,,,,,
350,dombarovskiy,ru,50.76,59.54,24.11,91,76,10.8
351,mehamn,no,71.03,27.85,25.73,88,80,15.28
352,lang son,vn,21.83,106.73,62.67,97,64,3.53
353,labuhan,id,-2.54,115.51,73.61,96,68,2.98
354,kaeo,nz,-35.1,173.78,74.82,61,12,13.15
355,winslow,us,51.94,-0.88,44.6,70,92,5.82
356,jambi,id,-1.6,103.62,73.43,93,92,6.55
357,rorvik,no,64.86,11.24,29.69,100,48,2.98
358,canutama,br,-6.53,-64.38,80.45,81,32,4.43
359,ceske velenice,cz,48.77,14.96,28.43,89,64,4.43
360,china,mx,25.71,-99.24,90.48,30,12,22.32
361,la asuncion,ve,-1.64,-78.74,49.04,98,92,2.53
362,shache,cn,38.42,77.24,42.2,67,12,4.21
363,elliot lake,ca,46.37,-82.65,39.2,51,1,11.41
364,pingliang,cn,35.54,106.68,37.79,55,0,2.64
365,chapleau,ca,47.85,-83.4,39.2,29,75,9.17
366,comodoro rivadavia,ar,-45.87,-67.48,69.8,40,0,13.87
367,xuddur,so,4.12,43.89,69.51,79,0,10.36
368,lysva,ru,58.11,57.8,20.24,89,92,3.53
369,mulchen,cl,-37.72,-72.23,52.1,81,0,4.21
370,chagda,ru,,,,,,
371,anloga,gh,5.79,0.9,82.4,88,20,11.41
372,venado,mx,22.93,-101.09,80.36,26,56,7.11
373,omboue,ga,-1.57,9.26,81.98,100,32,9.24
374,sept-iles,ca,50.2,-66.38,21.2,79,40,2.24
375,powell river,ca,49.84,-124.52,43.39,87,90,13.87
376,vardo,no,39.62,-77.74,41.27,64,1,3.36
377,boddam,gb,57.47,-1.78,35.6,93,90,3.36
378,tabuk,sa,17.41,121.44,63.89,85,20,1.52
379,albury,au,-36.08,146.92,59.72,59,24,4.7
380,santa cruz,cr,36.97,-122.03,63.86,36,1,9.17
381,mondlo,za,-27.96,30.72,49.26,90,48,2.75
382,lipin bor,ru,60.26,37.97,1.7,59,0,4.65
383,phrai bung,th,,,,,,
384,diffa,ne,13.32,12.61,75.95,27,0,8.68
385,brae,gb,60.4,-1.35,38.66,74,0,13.87
386,khorramshahr,ir,30.43,48.18,69.01,60,0,2.64
387,karamken,ru,,,,,,
388,north bend,us,43.41,-124.22,50.81,71,90,5.82
389,tandil,ar,-37.33,-59.14,54.3,58,88,6.67
390,thinadhoo,mv,0.53,72.93,83.73,100,76,1.19
391,batemans bay,au,-35.71,150.18,63.03,84,0,0.74
392,cherskiy,ru,68.75,161.3,-0.06,64,0,3.42
393,karakol,kg,42.49,78.39,30.72,100,92,3.09
394,nishihara,jp,35.74,139.53,60.35,41,40,5.82
395,chazuta,pe,-6.57,-76.13,72.71,96,92,1.97
396,shingu,jp,33.72,135.99,62.6,67,0,1.12
397,ust-omchug,ru,61.13,149.63,9.08,76,80,3.53
398,hamilton,bm,43.26,-79.87,37.09,80,75,10.29
399,dolores,ar,-33.53,-58.22,57.9,75,20,8.57
400,nalut,ly,31.86,10.98,47.28,80,0,5.1
401,grand river south east,mu,,,,,,
402,waipawa,nz,-39.94,176.59,73.47,53,0,4.88
403,ilulissat,gl,69.22,-51.1,-13.01,57,20,3.36
404,katsuura,jp,33.93,134.5,59,44,0,2.24
405,fare,pf,-16.7,-151.02,83.24,96,88,17.07
406,abu kamal,sy,34.45,40.92,59.84,35,0,10.69
407,miri,my,10.31,9.75,67.31,61,0,2.86
408,portland,au,45.52,-122.67,48.2,81,90,6.93
409,chute-aux-outardes,ca,49.12,-68.38,25.05,73,1,2.64
410,la tuque,ca,47.44,-72.79,28.7,61,0,5.32
411,kajaani,fi,64.22,27.73,12.2,78,0,3.36
412,saint-joseph,re,43.56,6.97,48.29,87,0,3.36
413,komsomolskiy,ru,67.55,63.78,-8.66,79,64,18.3
414,san quintin,mx,17.54,120.52,75.2,69,75,2.24
415,evensk,ru,61.92,159.24,11.91,100,44,1.07
416,bereda,so,43.27,-7.54,51.8,93,92,3.36
417,bermejo,bo,-22.73,-64.34,64.16,75,24,2.42
418,veraval,in,49.65,0.71,41.61,86,0,2.24
419,mayumba,ga,-3.44,10.65,78.78,100,64,6.44
420,college,us,64.86,-147.8,30.2,26,1,11.41
421,gazli,uz,40.13,63.45,52.55,73,36,6.78
422,armacao dos buzios,br,,,,,,
423,high level,ca,58.52,-117.13,10.4,35,20,6.93
424,mega,et,4.06,38.32,62.99,82,0,9.46
425,nemuro,jp,43.32,145.57,39.2,69,20,10.29
426,valer,no,41.76,-6.18,38.06,87,8,5.88
427,maiduguri,ng,11.84,13.15,74.6,49,0,3.98
428,jabiru,au,,,,,,
429,gamboma,cg,-1.87,15.88,75.23,90,24,8.46
430,roswell,us,33.39,-104.52,65.26,29,75,18.34
431,naousa,gr,40.63,22.07,41.7,99,44,2.3
432,vaitupu,wf,,,,,,
433,hengyang,cn,26.89,112.6,56.96,91,0,2.75
434,zelenogradsk,ru,54.96,20.48,33.8,74,75,13.42
435,verkhnevilyuysk,ru,63.45,120.31,14.88,70,44,8.46
436,walvis bay,na,-22.95,14.51,63.35,100,0,5.88
437,kuche,cn,,,,,,
438,kibala,ao,9.11,18.35,82.4,34,24,6.93
439,mulege,mx,26.88,-111.98,69.51,37,56,8.46
440,kabanjahe,id,3.1,98.49,62.36,99,68,1.97
441,bandarbeyla,so,9.49,50.81,79.28,100,20,13.49
442,taian,cn,,,,,,
443,general roca,ar,-39.03,-67.58,60.8,67,0,8.46
444,muroto,jp,33.37,134.14,60.8,59,0,4.7
445,talcahuano,cl,-36.72,-73.12,60.8,72,0,6.93
446,purgstall,at,48.06,15.14,33.74,98,88,3.65
447,marsa matruh,eg,31.35,27.25,59,77,0,9.17
448,srednekolymsk,ru,67.46,153.71,7.1,69,8,3.42
449,port hardy,ca,50.7,-127.42,42.8,93,90,14.99
450,oranjemund,na,-28.55,16.43,61.41,96,0,5.21
451,iquitos,pe,-3.75,-73.25,77.3,94,68,2.64
452,gravdal,no,59.79,5.78,33.8,100,88,12.75
453,inhambane,mz,-23.87,35.38,76.98,100,20,12.48
454,berdigestyakh,ru,62.1,126.7,21.63,75,24,7.23
455,negara,id,-8.36,114.62,80,94,76,4.09
456,mirnyy,ru,56.57,36.46,25.77,98,92,15.17
457,hambantota,lk,6.12,81.12,79.64,100,88,7.67
458,narayanganj,bd,23.62,90.5,73.4,83,40,8.05
459,pala,td,9.71,76.68,78.8,88,40,2.64
460,la belgica,bo,-17.57,-63.23,64.4,82,40,3.36
461,lavrentiya,ru,65.58,-170.99,23.88,100,88,12.71
462,leningradskiy,ru,69.38,178.42,-1.41,100,92,19.53
463,rio grande,br,-32.03,-52.1,66.59,92,8,13.27
464,qasigiannguit,gl,68.82,-51.19,-13.01,57,20,3.36
465,ishigaki,jp,24.34,124.16,73.4,64,20,9.17
466,yatou,cn,3.63,9.81,77,94,75,3.36
467,sao filipe,cv,14.9,-24.5,70.05,97,0,15.39
468,salvador,br,-12.98,-38.48,80.6,74,40,8.05
469,solwezi,zm,-12.18,26.4,62.31,94,24,3.76
470,bani walid,ly,31.76,14,54.93,63,88,12.71
471,marzuq,ly,14.4,46.47,44.22,87,0,2.19
472,rockhampton,au,-23.38,150.51,82.4,74,75,5.82
473,sidi ali,dz,36.1,0.42,47.46,81,68,6.67
474,haines junction,ca,60.75,-137.51,11.01,74,56,2.64
475,sawakin,sd,19.1,37.33,66.23,100,0,4.65
476,meulaboh,id,4.14,96.13,77.3,100,20,4.43
477,pimenta bueno,br,-11.68,-61.19,77.07,79,92,3.2
